Operator,Shape,Operand1,Operand2,Operand3,Operand4,Operand5,Operand6,Operand7,Operand8
ATTR,ExistenceThenExistence,azurerm_application_gateway.waf_configuration == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.url_path_map == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.url_path_map == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.timeouts == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.timeouts == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.timeouts == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.ssl_profile == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.ssl_profile == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.ssl_profile == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.ssl_profile == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.rewrite_rule_set == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.rewrite_rule_set == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.rewrite_rule_set == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.rewrite_rule_set == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.rewrite_rule_set == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.redirect_configuration == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.redirect_configuration == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.redirect_configuration == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.redirect_configuration == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.redirect_configuration == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.redirect_configuration == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.probe == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.private_link_configuration == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.http_listener.custom_error_configuration == Existence,azurerm_application_gateway.http_listener.require_sni == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.global == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.timeouts == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.ssl_profile == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.rewrite_rule_set == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.redirect_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.probe == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.private_link_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.force_firewall_policy_association == Existence,azurerm_application_gateway.global == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.zones == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.waf_configuration == Existence,,,,,,
ATTR,ExistenceThenExistence,azurerm_application_gateway.fips_enabled == Existence,azurerm_application_gateway.url_path_map == Existence,,,,,,
